skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7
Airflow,BigQuery,Docker,KPIs,Metabase,OKR,Privacy
APIs,Big Data,Computer Science,Data Analytics,Data management,Data Mining,Data visualization
Architecture,AWS,Deep Learning,Engineering,Machine Learning,MLOps,Python
Agile,APIs,Computer Science,ETL,Python,SQL,Testing
Computer Vision,Consulting,Healthcare technology,JavaScript,Keras,Machine Learning,Mathematics
Agile,Architecture,AWS,Business Intelligence,Consulting,DevOps,E-commerce
A/B testing,Data Analytics,Engineering,Finance,Looker,Machine Learning,Python
Computer Science,Data pipelines,Data quality,Engineering,NoSQL,PHP,Pipelines
Computer Science,Consulting,Consulting firm,Data Mining,Engineering,Machine Learning,Mathematics
Airflow,AWS,Azure,Data quality,ELT,Engineering,ETL
Agile,APIs,BigQuery,Data Warehousing,ELT,ETL,JSON
Engineering,Research,N/A,N/A,N/A,N/A,N/A
APIs,Cassandra,Computer Science,Data Analytics,Data visualization,DynamoDB,E-commerce
Agile,Azure,Consulting,ETL,Excel,Informatica,Python
DataOps,Data quality,Engineering,Excel,FinTech,Jira,SQL
AWS,Big Data,Consulting,Consulting firm,Data Analytics,Data pipelines,ELT
Data analysis,Drones,Engineering,Excel,Robotics,Tableau,N/A
Computer Vision,Consulting,Healthcare technology,JavaScript,Keras,Machine Learning,Mathematics
Architecture,AWS,Banking,BigQuery,Blockchain,Business Intelligence,Computer Science
A/B testing,Angular,APIs,Architecture,Big Data,BigQuery,Data management
AWS,Azure,Consulting,Databricks,DevOps,ETL,Git
APIs,AWS,Azure,Computer Science,Data management,Data quality,Engineering
Airflow,Excel,Finance,Python,Snowflake,SQL,N/A
Agile,Architecture,Big Data,Computer Science,Engineering,Hadoop,Kafka
Avro,AWS,Azure,Big Data,Business Intelligence,CI/CD,Computer Science
Ansible,AWS,Azure,Computer Science,Data management,Data pipelines,DevOps
AWS,Banking,BigQuery,Credit risk,Data governance,GCP,Google Cloud
Agile,Big Data,Blockchain,Computer Vision,Data management,Deep Learning,DevOps
Airflow,Architecture,AWS,Banking,Big Data,BigQuery,Blockchain
Athena,AWS,Azure,CI/CD,Computer Science,Data analysis,Data governance
Airflow,AWS,Data quality,ELT,Engineering,ETL,Excel
Data pipelines,Data warehouse,DevOps,ETL,Oracle,Pipelines,PostgreSQL
Agile,Architecture,AWS,Computer Science,Deep Learning,GitHub,Machine Learning
Airflow,Architecture,Azkaban,Azure,Big Data,Computer Science,Data pipelines
Agile,Architecture,AWS,Big Data,Blockchain,Databricks,DataOps
Big Data,Classification,Clustering,Elasticsearch,Engineering,GitHub,JavaScript
Autonomous Driving,CI/CD,Data Analytics,Databricks,Data Mining,Data pipelines,Deep Learning
Agile,Ansible,Architecture,Avro,AWS,Bitbucket,CI/CD
Agile,AWS,Azure,Big Data,Blockchain,Data management,Deep Learning
Architecture,AWS,Data Analytics,Data Mining,Docker,Engineering,Kinesis
Computer Science,Consulting,Consulting firm,Data Mining,Engineering,Machine Learning,Mathematics
Computer Science,Industrial,Machine Learning,Research,Statistics,N/A,N/A
Architecture,Computer Science,Consulting,Data analysis,Data management,Data quality,Engineering
AWS,Azure,Classification,Computer Science,Deep Learning,Distributed Systems,Engineering
Agile,Architecture,AWS,Azure,Big Data,BigQuery,Blockchain
ANN,APIs,Cassandra,Computer Science,Data pipelines,DevOps,Docker
AWS,Crypto,CX,Data visualization,Finance,Looker,Privacy
Consulting,Consulting firm,Data analysis,Excel,Power BI,Privacy,Travel
Data analysis,Deep Learning,E-commerce,Engineering,GCP,Google Cloud,Kubeflow
Architecture,Engineering,Finance,N/A,N/A,N/A,N/A
Agile,Architecture,CI/CD,Machine Learning,Python,R,SQL
Agile,Architecture,AWS,Computer Science,Deep Learning,Engineering,GitHub
Airflow,Architecture,AWS,Azure,Big Data,BigQuery,Business Intelligence
Agile,Business Intelligence,Computer Science,Data analysis,Data governance,Data visualization,DevOps
CX,Data analysis,Engineering,Excel,GitHub,Hadoop,KPIs
Agile,Architecture,Azure,Big Data,BigQuery,Business Intelligence,Computer Science
Causal inference,E-commerce,Engineering,Genetics,Machine Learning,ML models,Python
Big Data,Data Analytics,KNIME,Machine Learning,Power BI,Python,Tableau
Computer Science,Computer Vision,Deep Learning,Industrial,Linear algebra,Machine Learning,Matlab
Airflow,Architecture,Big Data,Business Intelligence,Computer Science,DevOps,Engineering
Excel,Testing,N/A,N/A,N/A,N/A,N/A
Computer Science,Data Analytics,Econometrics,Economics,Engineering,Machine Learning,Mathematics
AWS,Big Data,Computer Science,Consulting,Consulting firm,Data Analytics,Flask
Agile,Athena,AWS,Azure,Big Data,CI/CD,Data governance
Architecture,Big Data,Consulting,Databricks,Data Warehousing,Engineering,Excel
AWS,Bayesian,Biology,Computer Science,EC2,ECS,Engineering
Azure,CI/CD,Computer Vision,Data pipelines,Deep Learning,DevOps,Industrial
Agile,AWS,Data analysis,Data management,Data pipelines,Data quality,Data warehouse
Airflow,Big Data,BigQuery,Dataflow,Data governance,Dataproc,Data quality
AWS,Azure,Business Intelligence,CI/CD,Computer Science,Consulting,Data pipelines
Computer Science,Data visualization,Economics,Excel,Finance,Looker,Mathematics
Consulting,Data Analytics,Economics,Engineering,GCP,Google Cloud,Machine Learning
Architecture,Big Data,Computer Science,Computer Vision,Deep Learning,Engineering,Machine Learning
Agile,APIs,Architecture,AWS,Azure,Big Data,Blockchain
Architecture,Computer Science,Consulting,Data analysis,Data management,Data quality,Engineering
Airflow,Architecture,AWS,Banking,Bitbucket,Data analysis,Data warehouse
Agile,Architecture,Banking,Django,Docker,Engineering,FinTech
Agile,Biology,Chemistry,Data analysis,Data visualization,Drug discovery,Engineering
Agile,Azure,CI/CD,Computer Science,DevOps,Docker,Engineering
Banking,Computer Science,Data Analytics,Finance,Machine Learning,Mathematics,ML models
Agile,APIs,Azure,Data pipelines,DevOps,JavaScript,Pipelines
Airflow,APIs,Architecture,Business Analytics,Computer Science,Data analysis,Data Analytics
Airflow,BigQuery,Business Intelligence,Computer Science,Distributed Systems,Docker,Engineering
Agile,APIs,Architecture,AWS,Azure,Big Data,Blockchain
Consulting,Data quality,Excel,Prototyping,RDBMS,N/A,N/A
Architecture,Banking,Big Data,Consulting,Databricks,Data warehouse,Engineering
AWS,Azure,Bigtable,CI/CD,CX,Data pipelines,DDL
Agile,APIs,Architecture,Azure,Big Data,BigQuery,Blockchain
Agile,Engineering,Industrial,Machine Learning,ML models,Research,Statistics
Chemistry,GitHub,Jupyter,Open Source,Python,Research,N/A
Agile,AWS,Azure,Big Data,Computer Science,Consulting,Consulting firm
Agile,Airflow,API Development,APIs,AWS,Business Intelligence,Computer Science
APIs,Architecture,CI/CD,Data Analytics,Data pipelines,Distributed Systems,Engineering
Architecture,AWS,Big Data,Blockchain,Business Intelligence,Computer Science,Crypto
Business Intelligence,Excel,Genetics,N/A,N/A,N/A,N/A
APIs,Architecture,Machine Learning,Python,Scikit-learn,Statistics,TensorFlow
AWS,Azure,Big Data,Computer Science,Data pipelines,Data quality,Data Warehousing
Agile,Architecture,Azure,Big Data,Blockchain,CI/CD,DataOps
Research,Testing,N/A,N/A,N/A,N/A,N/A
Agile,Business Analytics,Computer Science,Consulting,Data analysis,Engineering,Machine Learning
Architecture,CUDA,CX,Data analysis,Git,GPU,Jira
Agile,DevOps,Docker,Linux,Machine Learning,Python,N/A
ASR,AWS,Computer Vision,Machine Learning,ML models,PhD,Python
Agile,Architecture,Computer Science,Engineering,GraphQL,JavaScript,Node.js
Athena,Avro,AWS,Big Data,ECS,ELT,ETL
Architecture,Big Data,Hadoop,HDFS,Linux,PhD,Security
Agile,APIs,Architecture,AWS,Azure,CI/CD,Distributed Systems
Architecture,Business Intelligence,Computer Science,Data Analytics,Data management,Data visualization,Economics
Big Data,Excel,Power BI,Python,SharePoint,SQL,N/A
Architecture,Classification,Computer Science,Computer Vision,Deep Learning,Engineering,Git
Data analysis,Excel,Git,Looker,Python,SQL,Statistics
Business Intelligence,Computer Science,ELT,Engineering,Healthcare technology,Snowflake,SQL
Banking,Business Intelligence,Consulting,Data analysis,Data Analytics,Excel,Power BI
Azure,Big Data,Bitbucket,CI/CD,Computer Science,DevOps,Engineering
Engineering,Ruby,N/A,N/A,N/A,N/A,N/A
Data analysis,Data Mining,Data Studio,Economics,Excel,KPIs,Mathematics
Agile,Angular,AWS,Big Data,Consulting,Docker,Engineering
Agile,Airflow,Architecture,Athena,AWS,BigQuery,Databricks
Agile,Architecture,AWS,Big Data,Blockchain,Databricks,DevOps
Architecture,AWS,Big Data,Blockchain,Business Intelligence,Computer Science,Crypto
BigQuery,Data Studio,GCP,Google Cloud,MySQL,Power BI,Python
Agile,Consulting,Engineering,Security,N/A,N/A,N/A
ANN,AWS,Data pipelines,Data visualization,DevOps,Engineering,Genetics
AWS,Engineering,Industrial,Research,N/A,N/A,N/A
Autonomous Driving,Computer Science,Julia,Mathematics,Physics,Python,Robotics
Architecture,Computer Science,Engineering,Excel,Jira,N/A,N/A
Architecture,Data quality,Engineering,Excel,Finance,Tableau,N/A
Deep Learning,E-commerce,Engineering,Keras,LLMs,Machine Learning,NLP
Computer Science,Consulting,Data analysis,Data Analytics,Data pipelines,Data visualization,ETL
Architecture,Big Data,Business Intelligence,Data Analytics,Data Mining,ETL,Hadoop
Engineering,Machine Learning,Mathematics,Research,N/A,N/A,N/A
Classification,Clustering,Computer Science,Databricks,Julia,Machine Learning,Mathematics
APIs,AWS,Azure,CX,Engineering,ETL,REST API
AWS,Data analysis,Data pipelines,E-commerce,EDA,Engineering,Hadoop
Agile,Computer Vision,Engineering,Machine Learning,NLP,R,Research
CX,Data Analytics,Research,Statistics,N/A,N/A,N/A
Agile,AWS,Big Data,Elasticsearch,Engineering,Grafana,Kafka
APIs,AWS,Big Data,CI/CD,CX,Data pipelines,Engineering
BigQuery,Computer Science,CX,Data analysis,Deep Learning,Engineering,GCP
Big Data,Computer Science,Engineering,Flink,Genetics,Machine Learning,Mathematics
Agile,Computer Science,Deep Learning,DevOps,Engineering,Feature engineering,Flink
Agile,API Development,APIs,CI/CD,Docker,Engineering,Git
Biochemistry,Biology,Data analysis,Genetics,Machine Learning,PhD,Pipelines
Agile,AWS,Azure,Big Data,DevOps,Docker,ETL
Computer Science,Data management,Data Warehousing,ELT,Engineering,ETL,Excel
Agile,Azure,BigQuery,DevOps,ELT,ETL,GitHub
Computer Science,Consulting,Consulting firm,Data Analytics,Data Mining,Data visualization,Engineering
Banking,Business Intelligence,Consulting,Data Analytics,Engineering,SQL,N/A
AWS,Azure,Consulting,Consulting firm,Data Analytics,Engineering,ETL
Agile,APIs,Architecture,AWS,Big Data,Data Mining,Data pipelines
Architecture,Azure,BigQuery,Git,Power BI,SQL,UX
Agile,APIs,BigQuery,Business Intelligence,Dataflow,Data governance,Data pipelines
Airflow,BigQuery,Business Intelligence,Computer Science,Distributed Systems,Docker,Engineering
APIs,Architecture,AWS,Azure,Big Data,CI/CD,Consulting
A/B testing,Architecture,AWS,Business Intelligence,Databricks,Data visualization,Engineering
BigQuery,Business Intelligence,Computer Science,Engineering,Looker,Metabase,PhD
AWS,Azure,Big Data,Computer Science,Computer Vision,Consulting,Consulting firm
Architecture,BigQuery,ELT,ETL,GCP,Linux,Oracle
Engineering,PhD,R,R&D,Research,Robotics,N/A
Azure,Consulting,Genetics,RDBMS,Research,SQL,T-SQL
Business Intelligence,Computer Science,Data Analytics,Engineering,Excel,Mathematics,Snowflake
Agile,Airflow,Architecture,AWS,Big Data,Data pipelines,Distributed Systems
Airflow,AWS,Azure,BigQuery,Computer Science,Consulting,Data Analytics
A/B testing,Consulting,Data pipelines,Engineering,ETL,KPIs,Machine Learning
Bayesian,Causal inference,Computer Science,E-commerce,Econometrics,Engineering,Genetics
APIs,AWS,Consulting,Data visualization,Machine Learning,Python,SQL
APIs,Architecture,CI/CD,Engineering,Python,Snowflake,SQL
Architecture,Big Data,Data Analytics,Data quality,Docker,Hadoop,JavaScript
Agile,Business Intelligence,Data Analytics,Engineering,Excel,Mathematics,OKR
Data pipelines,Engineering,ETL,KPIs,Machine Learning,Pipelines,PySpark
Block,Airflow,USD 115K - 180K *,Flex hours,Banking,USD 115K+ *,Parental leave
AWS,Data Analytics,Data pipelines,ELT,Engineering,FinTech,FiveTran
Agile,Azure,Bitbucket,CI/CD,Computer Science,DevOps,Docker
Biology,Computer Science,Data quality,Machine Learning,Mathematics,Model training,Research
Computer Science,Engineering,Machine Learning,Mathematics,ML models,PhD,Python
Airflow,Big Data,Blockchain,Computer Science,Crypto,DataOps,Engineering
Airflow,AWS,Classification,Data quality,Machine Learning,NumPy,Pandas
APIs,AWS,Big Data,Blockchain,Computer Science,DevOps,Distributed Systems
Business Analytics,Computer Science,Data analysis,Economics,Excel,KPIs,Mathematics
AWS,Banking,Big Data,Blockchain,Computer Science,Crypto,Data analysis
Airflow,AWS,Azure,BigQuery,Computer Science,Consulting,Data Analytics
AWS,Azure,Big Data,Data Analytics,ETL,GCP,Hadoop
Computer Science,LLMs,Machine Learning,Mathematics,Research,STEM,Teaching
Business Intelligence,Power BI,SQL,N/A,N/A,N/A,N/A
AWS,Banking,Blockchain,Crypto,Databricks,Docker,Spark
Data visualization,Excel,Streaming,N/A,N/A,N/A,N/A
Architecture,Data analysis,Data Warehousing,Engineering,Finance,KPIs,Looker
Agile,Architecture,Banking,Business Intelligence,Classification,CX,Data analysis
Agile,Airflow,Architecture,AWS,Azure,Big Data,Bitbucket
AWS,Azure,Big Data,Consulting,Data pipelines,Data warehouse,JSON
Azure,Business Analytics,Business Intelligence,Data analysis,Databricks,Data governance,Data warehouse
Airflow,APIs,Azure,Docker,Engineering,Git,Grafana
C++,Computer Science,Engineering,Git,Linux,Pipelines,Prototyping
Agile,Architecture,Azure,CI/CD,Data pipelines,Engineering,MS SQL
Agile,Architecture,Big Data,Cassandra,Data governance,Data Mining,DB2
Airflow,Architecture,Computer Science,Computer Vision,Data Mining,Deep Learning,Economics
DataOps,Data warehouse,Engineering,ETL,Excel,Flink,Machine Learning
Bayesian,Computer Science,Deep Learning,E-commerce,Engineering,Feature engineering,Finance
Airflow,Ansible,AWS,Azure,Computer Science,Databricks,Data management
APIs,Architecture,Azure,BigQuery,Data governance,Data management,Data quality
Airflow,AWS,Azure,BigQuery,Computer Science,Consulting,Data Analytics
Architecture,Business Intelligence,Computer Science,Data Analytics,Data visualization,Engineering,JavaScript
Blockchain,Computer Science,Crypto,Data analysis,Data management,Data pipelines,Data strategy
Agile,Ansible,AWS,Azure,Banking,BigQuery,CI/CD
Agile,AWS,Azure,Computer Science,Data visualization,Deep Learning,Engineering
Airflow,Autonomous Driving,AWS,Azure,Cassandra,CI/CD,Computer Science
AWS,Business Intelligence,Computer Science,CX,Data analysis,Data visualization,Data Warehousing
Azure,Business Intelligence,Data analysis,Data quality,Economics,Genetics,Linux
Agile,Banking,Big Data,DevOps,Engineering,ETL,Excel
AWS,CI/CD,Computer Science,Data pipelines,Data quality,DevOps,Docker
Agile,APIs,Data Analytics,Engineering,Git,KPIs,Looker
Big Data,Computer Science,Data analysis,Python,R,Research,SQL
AWS,Azure,CI/CD,Docker,Engineering,Feature engineering,GCP
Architecture,Business Intelligence,Data analysis,Machine Learning,NumPy,Pandas,Pipelines
Deep Learning,Machine Learning,ML models,MLOps,Python,PyTorch,Terraform
Architecture,Autonomous Driving,Computer Science,CUDA,Engineering,Git,GPU
Bayesian,Causal inference,Computer Science,Data analysis,Data visualization,Deep Learning,Economics
APIs,Azure,Big Data,Databricks,Data management,Data pipelines,DevOps
Classification,Computer Vision,Deep Learning,ELT,ETL,Golang,Kubeflow
Agile,Computer Science,Data analysis,Data Studio,E-commerce,Economics,Engineering
Business Intelligence,Computer Science,Data analysis,Data Analytics,Data Mining,Data visualization,Economics
Business Intelligence,Computer Science,Data Analytics,Data visualization,Engineering,Excel,Industrial
Agile,Caffe,Classification,Clustering,Computer Science,Computer Vision,Data analysis
Agile,Architecture,AWS,Azure,CI/CD,Consulting,Consulting firm
AWS,Azure,CI/CD,Docker,Engineering,Feature engineering,GCP
Machine Learning,Research,N/A,N/A,N/A,N/A,N/A
AWS,Computer Science,Data analysis,Engineering,Git,Physics,Python
Ansible,APIs,AWS,Azure,Banking,Computer Science,Deep Learning
Agile,Architecture,AWS,Azure,Banking,Big Data,BigQuery
Architecture,Computer Vision,DALL-E,Deep Learning,Git,GPT,GPT-3
Agile,Azure,Business Intelligence,ETL,.NET,Prototyping,Research
AWS,Computer Science,Django,Engineering,Git,GitHub,GraphQL
Computer Science,Data analysis,Data Analytics,Security,N/A,N/A,N/A
Agile,Business Analytics,Business Intelligence,Data analysis,Data Analytics,Data governance,Data pipelines
Machine Learning,Research,N/A,N/A,N/A,N/A,N/A
Classification,EMNLP,ICLR,ICML,Machine Learning,NeurIPS,NLP
A/B testing,Athena,AWS,Data analysis,Data management,Engineering,Machine Learning
Agile,Airflow,AWS,Azure,Big Data,BigQuery,Computer Science
Airflow,AWS,Business Intelligence,Data governance,Data pipelines,Data quality,Data visualization
BigQuery,Computer Science,Data warehouse,Git,KPIs,Mathematics,R
Computer Science,Engineering,GitHub,Industrial,Machine Learning,Physics,Research
Finance,N/A,N/A,N/A,N/A,N/A,N/A
Data Mining,Engineering,Finance,Machine Learning,Python,R,SQL
AWS,Azure,BigQuery,Business Intelligence,Economics,Engineering,Finance
Agile,DataOps,Industrial,Machine Learning,Mathematics,Physics,Research
Machine Learning,Teaching,N/A,N/A,N/A,N/A,N/A
Business Intelligence,Data analysis,Data Analytics,Data Mining,Data visualization,Data warehouse,Excel
Business Intelligence,Computer Science,Data analysis,Data Analytics,Data Mining,Data visualization,Economics
Airflow,Architecture,AWS,BigQuery,CSV,Data governance,Data warehouse
Causal inference,EMNLP,ICLR,ICML,Machine Learning,NeurIPS,Python
A/B testing,Computer Science,E-commerce,Engineering,Excel,Genetics,Machine Learning
Agile,Architecture,Computer Science,Engineering,Git,JavaScript,RDBMS
Angular,Architecture,Computer Science,Engineering,Git,Jira,Linux
Agile,Ansible,APIs,Architecture,AWS,Azure,Big Data
A/B testing,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics,Data Mining
Causal inference,Computer Science,Consulting,Data management,Data visualization,Economics,Engineering
A/B testing,Business Intelligence,Computer Science,Data analysis,Data visualization,Engineering,Finance
Airflow,API Development,APIs,Architecture,AWS,Databricks,Distributed Systems
3D Reconstruction,Computer Vision,CUDA,Deep Learning,Engineering,Genetics,Git
Agile,Banking,Finance,PySpark,Python,Scala,N/A
BigQuery,Data pipelines,Engineering,FiveTran,GraphQL,Metabase,Pipelines
Airflow,Architecture,Business Intelligence,Computer Science,Data analysis,Data governance,Data management
A/B testing,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics,Data Mining
Agile,Banking,Business Intelligence,Consulting,Finance,Power BI,SQL
Agile,Airflow,AWS,Data analysis,Data pipelines,Data Warehousing,Engineering
Data management,DataOps,Engineering,Finance,FinTech,N/A,N/A
APIs,AWS,Computer Science,Data Warehousing,Engineering,ETL,GCP
Business Analytics,Data analysis,Engineering,Finance,Looker,Python,SQL
Business Intelligence,Data pipelines,Data visualization,ETL,Finance,Periscope,Pipelines
Azure,Engineering,ETL,Power BI,SQL,N/A,N/A
Business Intelligence,Data analysis,Data Analytics,Data Mining,Data visualization,Finance,KPIs
Data analysis,Economics,Excel,Finance,Power BI,Statistics,Tableau
AWS,Databricks,Data pipelines,Engineering,Finance,Pipelines,Python
SLAM,Sports industry,Streaming,N/A,N/A,N/A,N/A
Azure,Data Analytics,Data warehouse,Data Warehousing,ELT,ETL,Genetics
APIs,Athena,AWS,Business Intelligence,CSV,Data visualization,Power BI
Agile,AWS,Biology,Data analysis,GCP,Julia,PhD
Agile,Architecture,Athena,AWS,Big Data,BigQuery,Computer Science
AWS,Azure,Consulting,Consulting firm,Data analysis,Data Analytics,Data Mining
Airflow,Causal inference,Data analysis,Engineering,ETL,Machine Learning,PhD
Business Intelligence,Computer Science,Consulting,Economics,Engineering,Hadoop,Machine Learning
A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics
Business Intelligence,Computer Science,Crypto,Data analysis,Data Analytics,Economics,EDA
Airflow,AWS,Azure,Big Data,Data analysis,Data pipelines,Data quality
A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics
Airflow,Architecture,AWS,Azure,Big Data,CI/CD,Classification
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Architecture,Big Data,Computer Science,Consulting,Docker,Engineering,Hadoop
Clojure,Computer Science,E-commerce,Engineering,Finance,Machine Learning,ML models
Content creation,Deep Learning,Machine Learning,Research,N/A,N/A,N/A
Agile,Airflow,Big Data,Computer Science,Data Analytics,Deep Learning,Docker
Architecture,Big Data,Data management,Data quality,Data strategy,Jira,Python
Bayesian,CI/CD,Classification,E-commerce,Engineering,GCP,Kubernetes
Architecture,AWS,Azure,Computer Science,Data warehouse,Data Warehousing,ETL
Business Intelligence,Data analysis,Data Studio,Data visualization,Excel,Finance,JavaScript
Consulting,D3,Data Analytics,Data Mining,Data visualization,Econometrics,Machine Learning
AWS,Biology,Computer Science,Data management,DevOps,Docker,Engineering
Architecture,Tableau,N/A,N/A,N/A,N/A,N/A
Computer Science,Data Analytics,Engineering,Mathematics,Python,Spotfire,SQL
Big Data,Consulting,Data analysis,Economics,Excel,Hadoop,Mathematics
Agile,Banking,Consulting,Consulting firm,FinTech,Hadoop,Machine Learning
Agile,Airflow,AWS,Big Data,Data Analytics,Docker,ECS
Agile,Classification,Computer Vision,Deep Learning,Engineering,Machine Learning,ML models
Data strategy,Engineering,N/A,N/A,N/A,N/A,N/A
Consulting,D3,Data Analytics,Data Mining,Data visualization,Econometrics,Machine Learning
Banking,Blockchain,Crypto,Data pipelines,Engineering,Machine Learning,Pipelines
Angular,Elasticsearch,Git,JavaScript,Kibana,Linux,Machine Learning
Athena,Big Data,Cassandra,Computer Science,EC2,E-commerce,Engineering
Azure,Big Data,CSV,Databricks,DevOps,Engineering,Git
Biology,Computer Science,Data management,DevOps,Engineering,Git,Linux
AWS,Computer Science,Computer Vision,Databricks,E-commerce,Engineering,Finance
Consulting,Consulting firm,Data analysis,Excel,Power BI,Privacy,N/A
Agile,Clustering,Consulting,Databricks,Data management,Data Mining,Engineering
Agile,Airflow,Big Data,BigQuery,CI/CD,Computer Science,Data pipelines
Big Data,Computer Science,Deep Learning,Engineering,Keras,Python,PyTorch
AWS,BigQuery,Bigtable,Computer Science,Consulting,Consulting firm,Databricks
Agile,AWS,Big Data,Computer Science,Data pipelines,DevOps,Distributed Systems
Computer Vision,CUDA,Deep Learning,Engineering,Git,Keras,Machine Learning
CX,Data analysis,Data visualization,GCP,Git,Google Cloud,Looker
Agile,Excel,Finance,N/A,N/A,N/A,N/A
Agile,Architecture,AWS,Azure,Big Data,Blockchain,Cassandra
Data analysis,Excel,Power BI,Python,R,R&D,N/A
Agile,Business Intelligence,Data analysis,E-commerce,Genetics,Python,Research
Banking,Data analysis,Data quality,Excel,Finance,Power BI,Python
Azure,Big Data,CI/CD,Computer Science,Databricks,Deep Learning,Engineering
Azure,Big Data,Computer Science,Deep Learning,Docker,Engineering,Git
DataOps,Finance,Flink,N/A,N/A,N/A,N/A
Agile,Architecture,Data Analytics,DataOps,Data pipelines,Data quality,ELT
Azure,Bitbucket,Data Mining,Data visualization,Docker,Engineering,Git
BigQuery,Clustering,Data analysis,Data Studio,Market research,Python,R
Data analysis,Excel,N/A,N/A,N/A,N/A,N/A
Agile,Airflow,Architecture,AWS,Big Data,CI/CD,Data Analytics
Computer Science,E-commerce,Elasticsearch,Engineering,Genetics,Machine Learning,ML models
Architecture,AWS,Biology,Computer Science,Deep Learning,Git,Jupyter
Angular,AWS,Bayesian,Big Data,Clustering,Data Mining,Data visualization
Consulting,Data Mining,Econometrics,Excel,KPIs,Market research,Research
CX,Data Analytics,Data warehouse,ETL,Python,R,SQL
Computer Science,Computer Vision,Engineering,Machine Learning,ML infrastructure,ML models,Pipelines
Agile,Clustering,Data analysis,Data visualization,KPIs,Pandas,Python
AWS,Business Intelligence,Consulting,Consulting firm,Data analysis,Data Analytics,Data management
A/B testing,Engineering,Machine Learning,ML models,MLOps,Model design,NumPy
APIs,Architecture,Azure,Big Data,CI/CD,Databricks,Data pipelines
Agile,Architecture,AWS,Azure,Big Data,CI/CD,Computer Science
Agile,Big Data,BigQuery,Data pipelines,Data warehouse,ETL,GCP
Agile,Airflow,Architecture,AWS,Azure,Computer Science,Data analysis
Causal inference,Engineering,Machine Learning,Python,R,Research,SQL
A/B testing,Computer Science,E-commerce,Engineering,Excel,Genetics,Machine Learning
Agile,Architecture,AWS,Big Data,CI/CD,Computer Science,Data management
Airflow,AWS,Blockchain,Consulting,Data analysis,Databricks,Data governance
Architecture,Banking,Blockchain,Clustering,Crypto,Data strategy,Data warehouse
Architecture,Content creation,Deep Learning,Diffusion models,Genetics,LLMs,Machine Learning
BigQuery,Excel,Finance,Security,SQL,N/A,N/A
A/B testing,Angular,APIs,Computer Science,Engineering,JavaScript,Node.js
A/B testing,Business Intelligence,Clustering,Data analysis,Data Analytics,Economics,EDA
Architecture,Computer Science,Engineering,Machine Learning,ML infrastructure,ML models,Physics
Agile,Business Intelligence,Computer Science,Data Analytics,Data Mining,Economics,ETL
Airflow,Architecture,AWS,Engineering,ETL,Kafka,Kubernetes
Agile,Airflow,APIs,AWS,Data pipelines,DevOps,Docker
BigQuery,Computer Science,Data analysis,Data Analytics,Data governance,Data pipelines,Data quality
Agile,D3,Data visualization,Engineering,Jupyter,Machine Learning,PhD
Chemistry,Testing,N/A,N/A,N/A,N/A,N/A
Agile,Architecture,BigQuery,Data analysis,Data Analytics,Data governance,Data quality
Azure,Business Intelligence,Data analysis,Data quality,Economics,Genetics,Linux
Agile,Data management,Data quality,N/A,N/A,N/A,N/A
Data analysis,Excel,GCP,Metabase,SQL,N/A,N/A
AWS,Azure,Cassandra,Clustering,Data Mining,Deep Learning,Distributed Systems
APIs,Big Data,Business Analytics,Data analysis,Data Analytics,Data visualization,Engineering
Genetics,Git,Pipelines,Python,R,Research,SAS
Business Analytics,Data analysis,Genetics,SQL,Statistics,N/A,N/A
Architecture,AWS,Big Data,Databricks,Data pipelines,Data Warehousing,Engineering
Computer Science,Computer Vision,Deep Learning,Engineering,Git,Jira,Machine Learning
Banking,Data Analytics,Data visualization,Distributed Systems,Economics,FinTech,Privacy
Architecture,AWS,Big Data,Computer Science,Data Analytics,Data pipelines,Data visualization
API Development,APIs,Big Data,Computer Science,Data Analytics,Data visualization,DevOps
Ansible,Architecture,AWS,Azure,Big Data,CI/CD,Consulting
BigQuery,Computer Science,Data analysis,Data warehouse,Engineering,Finance,FiveTran
Computer Science,Data Analytics,Economics,Engineering,Mathematics,Matlab,Physics
BigQuery,E-commerce,Engineering,Excel,KPIs,Looker,Mathematics
Big Data,CI/CD,Data Analytics,ETL,Finance,Python,SDLC
Agile,APIs,Architecture,AWS,Azure,CI/CD,Distributed Systems
Computer Science,Data analysis,Deep Learning,Economics,EDA,Engineering,Genetics
Azure,Banking,Blockchain,Consulting,Consulting firm,Engineering,Finance
Business Intelligence,Data governance,Excel,Security,SQL,N/A,N/A
Airflow,APIs,Architecture,AWS,Azkaban,Big Data,Business Intelligence
Azure,Databricks,Data warehouse,DevOps,Engineering,MLFlow,Pipelines
Computer Science,Excel,Finance,KPIs,Looker,Python,SQL
Computer Science,Computer Vision,Deep Learning,Drones,Machine Learning,PhD,Python
Big Data,Data Analytics,Data Mining,Engineering,Machine Learning,Mathematics,PhD
Computer Science,Data Warehousing,Engineering,Mathematics,Python,R,SAS
Agile,Data management,Excel,Finance,N/A,N/A,N/A
